trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
161,False,"{'a': 0.5, 'e': 0.5169999999999996}",20,10,-45.53736561920272,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
162,False,"{'a': 0.5, 'e': 0.5139999999999996}",25,7,-19.70544457246975,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.5109999999999996}",25,1,-2.4188640845654605,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.5079999999999996}",20,0,-13.394075900423845,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-57.97200829552098,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.5019999999999996}",25,6,-57.13302800088155,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.49899999999999956}",30,19,22.587483975190274,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.49599999999999955}",25,0,-55.1708032105414,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
169,False,"{'a': 0.5, 'e': 0.49299999999999955}",20,4,-12.581777065125154,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,6,-33.49244873330218,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.48699999999999954}",30,14,-33.985814582071995,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.48399999999999954}",30,4,22.10395976715078,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.48099999999999954}",20,16,7.686603298442717,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.47799999999999954}",25,18,12.541758813405588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-21.7822968361357,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.47199999999999953}",20,0,-25.28394196193919,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
